ID,VWO EG1,VWO EG2,VWO EG3,VWO EG4,VWO EG5,VWO EG6,Doorlopend?,HAVO EG1,HAVO EG2,HAVO EG3,HAVO EG4,HAVO EG5,Doorlopend?,,MAVO EG1,MAVO EG2,MAVO EG3,MAVO EG4,Doorlopend?
2952405,,,,,,,FALSE,,5.994545455,5.97,6.71,6.381818182,FALSE,,,,,,FALSE
2955234,,5.348181818,,,,,FALSE,,,5.276,5.83,,FALSE,,,,,,FALSE
2955726,,,,,,,FALSE,,,,,,FALSE,,,7.269,,,FALSE
2956095,,,,,,,FALSE,,,,,,FALSE,,,5.248,5.9,5.5,FALSE
2956587,,5.713636364,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
2958186,,6.659090909,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
2960154,,7.816923077,7.468823529,6.677777778,6.6,6.958333333,FALSE,,,,,,FALSE,,,,,,FALSE
2960277,,,,,,,FALSE,,,,,,FALSE,,,6.309090909,6.025,5.972727273,FALSE
2960400,,6.266363636,,,,,FALSE,,,,,,FALSE,,,,,,FALSE
2960523,,,,,,,FALSE,,6.851818182,6.552666667,6.109090909,5.963636364,FALSE,,,,,,FALSE
2960646,,,,,,,FALSE,,,,,,FALSE,,,6.61,6.591666667,6.481818182,FALSE
2960769,,,,,,,FALSE,,,,,,FALSE,,,7.676,7.116666667,7.3,FALSE
2960892,,,,,,,FALSE,,7.646363636,6.889333333,6.316666667,6.3,FALSE,,,,,,FALSE
2961015,,,,,,,FALSE,,,,6.19,5.990909091,FALSE,,,6.325454545,6.058333333,6.283333333,FALSE
2961138,,,,,,,FALSE,,,,,,FALSE,,,,7.2,,FALSE
2961261,,,,,,,FALSE,,7.498181818,7.436,7.091666667,6.766666667,FALSE,,,,,,FALSE
2961384,,,6.711333333,6.577777778,6.436363636,6.216666667,FALSE,,7.719090909,,,,FALSE,,,,,,FALSE
2961507,,,,,,,FALSE,,,,,,FALSE,,,5.372,,,FALSE
2961630,,,,,,,FALSE,,,,,,FALSE,,,6.617272727,6.291666667,,FALSE
